no,url_id,link,location_name,category,address,rating,number_of_ratings,price_range_per_person,reported_by_people,range_price,percentage,monday_open,monday_close,tuesday_open,tuesday_close,wednesday_open,wednesday_close,thursday_open,thursday_close,friday_open,friday_close,saturday_open,saturday_close,sunday_open,sunday_close
11,0x2e69c5a66136c5ed:0x42e0364a9e3179d9,https://www.google.com/maps/place/Anami+Coffee/data=!4m7!3m6!1s0x2e69c5a66136c5ed:0x42e0364a9e3179d9!8m2!3d-6.575703!4d106.8000686!16s%2Fg%2F11rwqrqkjz!19sChIJ7cU2YabFaS4R2Xkxnko24EI?authuser=0&hl=en&rclk=1,"Anami Coffee","Coffee shop","Jl. A. Yani No.15, Tanah Sareal, Kec. Tanah Sereal, Kota Bogor, Jawa Barat 16161",4.6,504,"Rp 25-50K",188,"Rp 1-25.000, Rp 25.000-50.000, Rp 50.000-75.000, Rp 75.000-100.000","1%, 59%, 28%, 9%","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours"
12,0x2e69c5dc48dd1d1f:0x2915970b5758ac1f,https://www.google.com/maps/place/Awal+Mula+Coffee/data=!4m7!3m6!1s0x2e69c5dc48dd1d1f:0x2915970b5758ac1f!8m2!3d-6.6043804!4d106.8102878!16s%2Fg%2F11ggc28kw0!19sChIJHx3dSNzFaS4RH6xYVwuXFSk?authuser=0&hl=en&rclk=1,"Awal Mula Coffee","Coffee shop","Jl. Binamarga II No.5A, Baranangsiang, Kec. Bogor Tim., Kota Bogor, Jawa Barat 16143",4.7,1379,"Rp 25-50K",163,"Rp 1-25.000, Rp 25.000-50.000, Rp 50.000-75.000, Rp 75.000-100.000","2%, 45%, 34%, 9%","9.00 am","9.00 pm","9.00 am","9.00 pm","9.00 am","9.00 pm","9.00 am","9.00 pm","9.00 am","10.00 pm","9.00 am","10.00 pm","9.00 am","9.00 pm"
13,0x2e69c5ddc12bd873:0x6a6781329e0cafd9,https://www.google.com/maps/place/POPOLO+Coffee/data=!4m7!3m6!1s0x2e69c5ddc12bd873:0x6a6781329e0cafd9!8m2!3d-6.6055017!4d106.810707!16s%2Fg%2F11c1nyb4nx!19sChIJc9grwd3FaS4R2a8MnjKBZ2o?authuser=0&hl=en&rclk=1,"POPOLO Coffee","Coffee shop","Jl. Loader No.9, Baranangsiang, Kec. Bogor Tim., Kota Bogor, Jawa Barat 16143",4.6,3690,"Rp 25-50K",280,"Rp 1-25.000, Rp 25.000-50.000, Rp 50.000-75.000, Rp 75.000-100.000","0%, 42%, 39%, 10%","9.00 am","8.00 pm","9.00 am","8.00 pm","9.00 am","8.00 pm","9.00 am","8.00 pm","9.00 am","8.00 pm","9.00 am","8.00 pm",Closed,Closed
14,0x2e69c5cf6fe1be11:0xe627bc0163f8be31,https://www.google.com/maps/place/Agreya+Coffee+-+Bogor/data=!4m7!3m6!1s0x2e69c5cf6fe1be11:0xe627bc0163f8be31!8m2!3d-6.5924597!4d106.816228!16s%2Fg%2F11tgd4hmx3!19sChIJEb7hb8_FaS4RMb74YwG8J-Y?authuser=0&hl=en&rclk=1,"Agreya Coffee - Bogor",Restaurant,"Jl. Kol. Enjo Martadisastra Jl. Kol. Ahmad Syam No.45 E, RT.04/RW.10, Tanah Baru, Kec. Bogor Utara, Kota Bogor, Jawa Barat 16154",4.7,2675,"Rp 50-100K",819,"Rp 1-50.000, Rp 50.000-100.000, Rp 100.000-150.000","15%, 58%, 18%","6.00 am","1.00 am","6.00 am","1.00 am","6.00 am","1.00 am","6.00 am","1.00 am","6.00 am","1.00 am","6.00 am","1.00 am","6.00 am","1.00 am"
15,0x2e69c5004fbdc1ad:0x8be9ac109d2c24c1,https://www.google.com/maps/place/Lorong+Temu+Coffee+%26+Eatery/data=!4m7!3m6!1s0x2e69c5004fbdc1ad:0x8be9ac109d2c24c1!8m2!3d-6.5702616!4d106.8034132!16s%2Fg%2F11vrky0416!19sChIJrcG9TwDFaS4RwSQsnRCs6Ys?authuser=0&hl=en&rclk=1,"Lorong Temu Coffee & Eatery","Coffee shop","Jl. Bangau No.22, Tanah Sareal, Kec. Tanah Sereal, Kota Bogor, Jawa Barat 16161",4.9,866,"Rp 25-50K",166,"Rp 1-25.000, Rp 25.000-50.000, Rp 50.000-75.000","8%, 70%, 17%","9.00 am","11.00 pm","9.00 am","11.00 pm","9.00 am","11.00 pm","9.00 am","11.00 pm","9.00 am","11.00 pm","9.00 am","11.00 pm","9.00 am","11.00 pm"
16,0x2e69c5b702e25859:0x94875b7694fb26b2,https://www.google.com/maps/place/The+Gade+Coffee+%26+Gold+Bogor/data=!4m7!3m6!1s0x2e69c5b702e25859:0x94875b7694fb26b2!8m2!3d-6.584385!4d106.7878394!16s%2Fg%2F11g2wt7g_v!19sChIJWVjiArfFaS4Rsib7lHZbh5Q?authuser=0&hl=en&rclk=1,"The Gade Coffee & Gold Bogor",Cafe,"Jalan Merdeka No.156 RT.1/RW.5, RT.01/RW.05, Ciwaringin, Kecamatan Bogor Tengah, Kota Bogor, Jawa Barat 16111",4.8,699,"Rp 25-50K",63,"Rp 1-25.000, Rp 25.000-50.000, Rp 50.000-75.000","11%, 54%, 24%","8.00 am","10.00 pm","8.00 am","10.00 pm","8.00 am","10.00 pm","8.00 am","10.00 pm","8.00 am","10.00 pm","8.00 am","10.00 pm",1.00,"9.00 pm"
17,0x2e69c5d56ded4ebb:0xe61c6623e8de56fe,https://www.google.com/maps/place/Baked+%26+Brewed+Coffee+and+Kitchen/data=!4m7!3m6!1s0x2e69c5d56ded4ebb:0xe61c6623e8de56fe!8m2!3d-6.5921575!4d106.8022838!16s%2Fg%2F11cm0gzq19!19sChIJu07tbdXFaS4R_lbe6CNmHOY?authuser=0&hl=en&rclk=1,"Baked & Brewed Coffee and Kitchen","Coffee shop","Jl. Salak No.6, Babakan, Kecamatan Bogor Tengah, Kota Bogor, Jawa Barat 16152",4.6,1896,"Rp 50-75K",164,"Rp 25.000-50.000, Rp 50.000-75.000, Rp 75.000-100.000, Rp 100.000-125.000","30%, 44%, 15%, 7%","8.00 am","10.00 pm","8.00 am","10.00 pm","8.00 am","10.00 pm","8.00 am","10.00 pm","8.00 am","10.00 pm","8.00 am","10.00 pm","8.00 am","10.00 pm"
18,0x2e69c5d6a908bdf9:0xfdf82d4354e02ebc,https://www.google.com/maps/place/Rumah+Seduh+Coffee+and+Kitchen/data=!4m7!3m6!1s0x2e69c5d6a908bdf9:0xfdf82d4354e02ebc!8m2!3d-6.5913578!4d106.8074248!16s%2Fg%2F11dzdttr1m!19sChIJ-b0IqdbFaS4RvC7gVEMt-P0?authuser=0&hl=en&rclk=1,"Rumah Seduh Coffee and Kitchen",Cafe,"Jl. Sancang No.16, RT.03/RW.07, Babakan, Kecamatan Bogor Tengah, Kota Bogor, Jawa Barat 16128",4.6,1191,"Rp 25-50K",121,"Rp 1-25.000, Rp 25.000-50.000, Rp 50.000-75.000, Rp 75.000-100.000, Rp 100.000-125.000","2%, 41%, 31%, 16%, 7%","8.00 am","10.00 pm","8.00 am","10.00 pm","8.00 am","10.00 pm","8.00 am","10.00 pm","8.00 am","10.00 pm","8.00 am","10.00 pm","8.00 am","10.00 pm"
19,0x2e69c7e7a91ace57:0x49c19f197b83c8fa,https://www.google.com/maps/place/Kedai+Kopi+Handoko/data=!4m7!3m6!1s0x2e69c7e7a91ace57:0x49c19f197b83c8fa!8m2!3d-6.5996647!4d106.8178428!16s%2Fg%2F11mbq23qwx!19sChIJV84aqefHaS4R-siDexmfwUk?authuser=0&hl=en&rclk=1,"Kedai Kopi Handoko","Coffee shop","Jl. Kolonel Martadisastra Jl. Kol. Ahmad Syam, Baranangsiang, Kec. Bogor Tim., Kota Bogor, Jawa Barat 16154",4.7,719,"Rp 25-50K",80,"Rp 1-25.000, Rp 25.000-50.000, Rp 50.000-75.000, Rp 75.000-100.000","1%, 64%, 28%, 6%","9.00 am","12.00 am","9.00 am","12.00 am","9.00 am","12.00 am","9.00 am","12.00 am","9.00 am","2.00 am","9.00 am","2.00 am","9.00 am","2.00 am"
20,0x2e69c5e0d8cfb4c7:0x9207fc3f0a71eea6,https://www.google.com/maps/place/Kopi+Nako+%26+Warung+Nako+Padjajaran/data=!4m7!3m6!1s0x2e69c5e0d8cfb4c7:0x9207fc3f0a71eea6!8m2!3d-6.609612!4d106.8130402!16s%2Fg%2F11ggr7q8tc!19sChIJx7TP2ODFaS4Rpu5xCj_8B5I?authuser=0&hl=en&rclk=1,"Kopi Nako & Warung Nako Padjajaran","Coffee shop","Jl. Pajajaran Indah V No.7, Baranangsiang, Kec. Bogor Tim., Kota Bogor, Jawa Barat 16143",4.6,7608,"Rp 25-50K",746,"Rp 1-25.000, Rp 25.000-50.000, Rp 50.000-75.000, Rp 75.000-100.000","7%, 56%, 21%, 9%","8.00 am","12.00 am","8.00 am","12.00 am","8.00 am","12.00 am","8.00 am","12.00 am","8.00 am","2.00 am","8.00 am","2.00 am","8.00 am","12.00 am"
